学号	姓名	年龄	性别	出生年月	地址	电话	E - mail
嘿嘿嘿							
20230000002	李四	19	男	20040705	李家村	002	20230000002@qq.com
20230000003	王五	18	男	20031128	王家庄	003	20230000003@qq.com
20230000004	狗蛋	19	未知	20040430	狗蛋家	004	20230000004@qq.com
20230000005	赵六	18	女	20030619	赵家楼	005	20230000005@qq.com
20230000006	钱七	19	男	20040712	钱家庄	006	20230000006@qq.com
20230000007	孙八	18	男	20031205	孙家村	007	20230000007@qq.com
20230000008	刘九	19	女	20040507	刘家庄	008	20230000008@qq.com
20230000009	黄十	18	男	20030623	黄家村	009	20230000009@qq.com
20230000010	吴十一	19	女	20040719	吴家庄	010	20230000010@qq.com
20230000011	陈十二	18	男	20031212	陈家村	011	20230000011@qq.com
20230000012	林十三	19	女	20040514	林家庄	012	20230000012@qq.com
20230000013	罗十四	18	男	20030629	罗家村	013	20230000013@qq.com
20230000014	郭十五	19	女	20040726	郭家庄	014	20230000014@qq.com
20230000015	张十六	18	男	20031219	张家楼	015	20230000015@qq.com
20230000016	李十七	19	女	20040521	李家村	016	20230000016@qq.com
20230000017	王十八	18	男	20030701	王家庄	017	20230000017@qq.com
20230000018	狗十九	19	未知	20040802	狗蛋家	018	20230000018@qq.com
20230000019	赵二十	18	女	20031226	赵家楼	019	20230000019@qq.com
20230000020	钱二十一	19	男	20040528	钱家庄	020	20230000020@qq.com
20230000021	孙二十二	18	男	20030708	孙家村	021	20230000021@qq.com
20230000022	刘二十三	19	女	20040809	刘家庄	022	20230000022@qq.com
20230000023	黄二十四	18	男	20030101	黄家村	023	20230000023@qq.com
20230000024	吴二十五	19	女	20040208	吴家庄	024	20230000024@qq.com
20230000025	陈二十六	18	男	20030715	陈家村	025	20230000025@qq.com
20230000026	林二十七	19	女	20040315	林家庄	026	20230000026@qq.com
20230000027	罗二十八	18	男	20030122	罗家村	027	20230000027@qq.com
20230000028	郭二十九	19	女	20040222	郭家庄	028	20230000028@qq.com
20230000029	张三十	18	男	20030722	张家楼	029	20230000029@qq.com
20230000030	李三十一	19	女	20040329	李家村	030	20230000030@qq.com
20230000031	王三十二	18	男	20030129	王家庄	031	20230000031@qq.com
20230000032	狗三十三	19	未知	20040229	狗蛋家	032	20230000032@qq.com
20230000033	赵三十四	18	女	20030729	赵家楼	033	20230000033@qq.com
20230000034	钱三十五	19	男	20040405	钱家庄	034	20230000034@qq.com
20230000035	孙三十六	18	男	20030205	孙家村	035	20230000035@qq.com
20230000036	刘三十七	19	女	20040305	刘家庄	036	20230000036@qq.com
20230000037	黄三十八	18	男	20030805	黄家村	037	20230000037@qq.com
20230000038	吴三十九	19	女	20040412	吴家庄	038	20230000038@qq.com
20230000039	陈四十	18	男	20030212	陈家村	039	20230000039@qq.com
20230000040	林四十一	19	女	20040312	林家庄	040	20230000040@qq.com
20230000041	罗四十二	18	男	20030812	罗家村	041	20230000041@qq.com
20230000042	郭四十三	19	女	20040419	郭家庄	042	20230000042@qq.com
20230000043	张四十四	18	男	20030219	张家楼	043	20230000043@qq.com
20230000044	李四十五	19	女	20040319	李家村	044	20230000044@qq.com
20230000045	王四十六	18	男	20030826	王家庄	045	20230000045@qq.com
20230000046	狗四十七	19	未知	20040426	狗蛋家	046	20230000046@qq.com
20230000047	赵四十八	18	女	20030305	赵家楼	047	20230000047@qq.com
20230000048	钱四十九	19	男	20040326	钱家庄	048	20230000048@qq.com
20230000049	孙五十	18	男	20030902	孙家村	049	20230000049@qq.com
20230000050	刘五十一	19	女	20040402	刘家庄	050	20230000050@qq.com
20230000051	黄五十二	18	男	20030312	黄家村	051	20230000051@qq.com
20230000052	吴五十三	19	女	20040302	吴家庄	052	20230000052@qq.com
20230000053	陈五十四	18	男	20030909	陈家村	053	20230000053@qq.com
20230000054	林五十五	19	女	20040409	林家庄	054	20230000054@qq.com
20230000055	罗五十六	18	男	20030319	罗家村	055	20230000055@qq.com
20230000056	郭五十七	19	女	20040309	郭家庄	056	20230000056@qq.com
20230000057	张五十八	18	男	20030916	张家楼	057	20230000057@qq.com
20230000058	李五十九	19	女	20040416	李家村	058	20230000058@qq.com
20230000059	王六十	18	男	20030326	王家庄	059	20230000059@qq.com
20230000060	狗六十一	19	未知	20040316	狗蛋家	060	20230000060@qq.com
20230000061	赵六十二	18	女	20031002	赵家楼	061	20230000061@qq.com
20230000062	钱六十三	19	男	20040423	钱家庄	062	20230000062@qq.com
20230000063	孙六十四	18	男	20030402	孙家村	063	20230000063@qq.com
20230000064	刘六十五	19	女	20040323	刘家庄	064	20230000064@qq.com
20230000065	黄六十六	18	男	20031009	黄家村	065	20230000065@qq.com
20230000066	吴六十七	19	女	20040430	吴家庄	066	20230000066@qq.com
20230000067	陈六十八	18	男	20030409	陈家村	067	20230000067@qq.com
20230000068	林六十九	19	女	20040330	林家庄	068	20230000068@qq.com
20230000069	罗七十	18	男	20031016	罗家村	069	20230000069@qq.com
20230000070	郭七十一	19	女	20040507	郭家庄	070	20230000070@qq.com
20230000071	张七十二	18	男	20030416	张家楼	071	20230000071@qq.com
20230000072	李七十三	19	女	20040414	李家村	072	20230000072@qq.com
20230000073	王七十四	18	男	20031023	王家庄	073	20230000073@qq.com
20230000074	狗七十五	19	未知	20040521	狗蛋家	074	20230000074@qq.com
20230000075	赵七十六	18	女	20030423	赵家楼	075	20230000075@qq.com
							
